topic_id,topic_title,topic_objective,PID,relevance,article_title,abstract
CD009175,Clinical symptoms and signs for the diagnosis of Mycoplasma pneumoniae in children and adolescents with community-acquired pneumonia, To assess the diagnostic accuracy of symptoms and signs in the clinical recognition of M. pneumoniae in children and adolescents with community-acquired pneumonia.,18219132,1,Prevalence of Mycoplasma and Chlamydia pneumonia in severe community-acquired pneumonia among hospitalized children in Thailand.,"Pneumonia is the leading cause of pediatric morbidity and mortality worldwide, and Mycoplasma pneumoniae and Chlamydia pneumoniae are the two most common atypical pathogens. This study was designed to determine the prevalence and clinical impact of mycoplasma and chlamydia pneumonia in children hospitalized with severe pneumonia. Children 1 month-15 years old with a diagnosis of severe pneumonia (WHO criteria) were recruited between March 2005 and March 2006. Serologic studies were performed for anti-M. pneumoniae and anti-C. pneumoniae IgG/M on admission and 2-4 weeks afterward using ELISA. Of 52 patients, 13 (25%) were positive for Mycoplasma, 8 (15%) were positive for Chlamydia, 4 (7.6%) were positive for a mixed infection and 27 (52%) were negative. The subjects' mean age was 23.8+/-4.1 months. The mean of initial oxygen saturation on admission was 87.5+/-1.2%. Fever and prolonged cough were the leading symptoms. The mean of hospitalization was 18.8+/-2.6 days, chlamydia pneumonia had the longest duration, 30+/-10.2 days and 13/52 (25%) study subjects developed respiratory failure. Only 10% were treated with adequate antibiotic prior to serologic results. There was one mortality (1/52, 2%). Our study suggests that mycoplasma and chlamydia infections are commonly found among children hospitalized with severe pneumonia. Coverage with an appropriate antibiotic should be considered to hasten recovery."
CD009175,Clinical symptoms and signs for the diagnosis of Mycoplasma pneumoniae in children and adolescents with community-acquired pneumonia, To assess the diagnostic accuracy of symptoms and signs in the clinical recognition of M. pneumoniae in children and adolescents with community-acquired pneumonia.,7667050,1,Mycoplasma pneumoniae and Chlamydia pneumoniae in pediatric community-acquired pneumonia: comparative efficacy and safety of clarithromycin vs. erythromycin ethylsuccinate.,"We evaluated 260 previously healthy children ages 3 through 12 years who had clinical signs and symptoms of pneumonia, radiographically confirmed. Patients were randomized 1:1 to a 10-day course of either clarithromycin suspension 15 mg/kg/day divided twice a day or erythromycin suspension 40 mg/kg/day divided twice a day or three times a day. Evidence of infection with Chlamydia pneumoniae was detected in 28% (74) of patients: 13% (34) by nasopharyngeal culture and 18% (48) by serology with the microimmunofluorescence assay. Evidence of infection with Mycoplasma pneumoniae was detected in 27% (69) of patients: 20% (53) by nasopharyngeal culture or polymerase chain reaction and 17% (44) by serology with the use of enzyme-linked immunosorbent assay. Serologic confirmation of infection was observed in 23% (8) and 53% (28) of patients with bacteriologically detected C. pneumoniae and M. pneumoniae, respectively. Treatment with clarithromycin vs. erythromycin, respectively, yielded the following outcomes: clinical success 98% (121 of 124) vs. 95% (105 of 110); radiologic success 98% (109 of 111) vs. 94% (92 of 110); and eradication by pathogen, C. pneumoniae 79% (15 of 19) vs. 86% (12 of 14) and M. pneumoniae 100% (9 of 9) vs. 100% (4 of 4). Adverse events were primarily gastrointestinal occurring in almost one-fourth of patients in both groups, and were mild to moderate in severity. Clarithromycin and erythromycin were similarly effective and safe for the treatment of radiographically proved, community-acquired pneumonia in children older than 2 years old.(ABSTRACT TRUNCATED AT 250 WORDS)"
CD010864,D-dimer test for excluding the diagnosis of pulmonary embolism," To investigate the ability of the D‐dimer test to rule out a diagnosis of acute PE in patients treated in hospital outpatient and accident and emergency (A&E) settings who have had a pre‐test probability (PTP) of PE determined according to a clinical prediction rule (CPR), by estimating the accuracy of the test according to estimates of sensitivity and specificity. The review focuses on those patients who are not already established on anticoagulation at the time of study recruitment.",18343077,1,Outcomes of high pretest probability patients undergoing d-dimer testing for pulmonary embolism: a pilot study.,"ELISA (enzyme-linked immunosorbent assay) D-dimer testing is commonly used in the evaluation of possible pulmonary embolism (PE) in the emergency department, but is not recommended in high pretest probability patients. Whether a negative ELISA D-dimer can safely rule out PE in these patients is not known, as there have been no large studies comparing ELISA D-dimer results and outcomes in high pretest probability patients. This was a prospective observational pilot study of emergency department patients evaluated for PE. Patients evaluated for PE had pretest probability assessed by the Wells PE Score. High pretest probability was defined as: dichotomized Wells Score>4 points and patients with trichotomized Wells Score>6 points. Patients had an ELISA D-dimer ordered by the treating physician. Pulmonary embolism was defined as: positive computed tomography scan, high probability ventilation/perfusion scan, positive pulmonary angiogram, or PE on 3-month follow-up. We calculated sensitivity, specificity, positive and negative predictive value, and likelihood ratios for the ELISA D-dimer. We prospectively enrolled 541 patients who underwent D-dimer testing for PE, of whom 130 patients had Wells Score>4 and 33 patients had Wells Score>6 (not mutually exclusive). Of subjects with Wells Score>4, 23 (18%) were diagnosed with PE and 40 (31%) had a negative D-dimer. No patient with Wells Score>4 (sensitivity 100%, 95% confidence interval [CI] 82%-100%; specificity 37%, 95% CI 28%-47%) or Wells Score>6 (sensitivity 100%, 95% CI 63%-100%; specificity 56%, 95% CI 35%-76%) who had a negative D-dimer was diagnosed with PE. The likelihood ratio for a negative D-dimer was 0 for both the Wells>4, and Wells>6 groups, however, the upper limits of the confidence interval around the post-test probability for PE were 16% and 33%, respectively, for these high probability groups. In this pilot study, the rapid ELISA D-dimer had high sensitivity and negative predictive value even when applied to patients with high pretest probability for PE. However, with the post-test probability of PE still as high as 16-33% in the negative D-dimer groups, this precludes applying the results to patient care at present. Further testing is warranted to determine whether these findings can be safely incorporated into practice."
CD010864,D-dimer test for excluding the diagnosis of pulmonary embolism," To investigate the ability of the D‐dimer test to rule out a diagnosis of acute PE in patients treated in hospital outpatient and accident and emergency (A&E) settings who have had a pre‐test probability (PTP) of PE determined according to a clinical prediction rule (CPR), by estimating the accuracy of the test according to estimates of sensitivity and specificity. The review focuses on those patients who are not already established on anticoagulation at the time of study recruitment.",19380159,1,Comparison of high specificity with standard versions of a quantitative latex D-dimer test in the assessment of community pulmonary embolism: HaemosIL D-dimer HS and pulmonary embolism.,D-dimer assays are sensitive but have poor specificity. False positive results lead to extra imaging and hospital admissions.
CD010864,D-dimer test for excluding the diagnosis of pulmonary embolism," To investigate the ability of the D‐dimer test to rule out a diagnosis of acute PE in patients treated in hospital outpatient and accident and emergency (A&E) settings who have had a pre‐test probability (PTP) of PE determined according to a clinical prediction rule (CPR), by estimating the accuracy of the test according to estimates of sensitivity and specificity. The review focuses on those patients who are not already established on anticoagulation at the time of study recruitment.",18357919,1,Quantitative d-dimer levels and the extent of venous thromboembolism in CT angiography and lower limb ultrasonography.,We evaluated the diagnostic yield of multidetector-row CT angiography and determined the clot burden within pulmonary vasculature as a measure of pulmonary embolism (PE) severity at different d-dimer levels and pretest clinical probabilities.
CD008054,Human papillomavirus testing versus repeat cytology for triage of minor cytological cervical lesions," For studies where both triage methods, i.e. repeat cytology and the HC2 assay, were assessed: To assess the sensitivity and specificity of triage with HC2 and with repeat cytology to detect underlying cervical intraepithelial neoplasia of grade 2 or worse (CIN2+), or grade 3 or worse (CIN3+), in women with an index smear showing ASCUS (triage group I) or LSIL (triage group II), and to compare the accuracy of both triage methods.",19954820,1,Papillary squamous intraepithelial lesions of the uterine cervix: human papillomavirus-dependent changes in cell cycle expression and cytologic features.,"Most human papillomavirus-associated squamous intraepithelial lesions of the uterine cervix are flat; some have papillary architecture that shows a spectrum of differentiation from low-grade squamous intraepithelial lesions to high-grade squamous intraepithelial lesions. For this subset of lesions, there are few data relating human papillomavirus type to cytology and cell cycle activity. Here, we collected 24 cases of papillary squamous intraepithelial lesions with either low-risk (15 cases) or high-risk (9 cases) human papillomavirus infection. We described their morphology and performed immunohistochemical staining with cell cycle-related markers Ki-67, p53, pRb, and P16INK4a. The Ki-67 labeling index was significantly lower in the low-risk group than in the high-risk group (P < .001). A cut point of less than 50% labeling index detected all but one low-risk group case. Degradation of p53 and pRb was less evident in the low-risk group than in the high-risk group (p53, P < .001; pRb, P = .006). P16INK4a produced an unexpectedly high positive rate of staining in the low-risk group (60%). However, a specific top-heavy distribution pattern was noted, with evident nuclear but faint cytoplasmic staining, whereas the high-risk group showed strong full-thickness nuclear and cytoplasmic staining. The detection of these lesions by smear examination was not reliable, given the wide expression pattern. Papillary structure was evident in none. We conclude that cell cycle-related markers are helpful in distinguishing low- and high-risk lesions. The strong p16INK4a staining in the low-risk group may imply that more cell cycle-controlling pressure is elicited in papillary lesions than in flat lesions. The distribution pattern of p16INK4a staining is important when making a diagnosis; cytology is not effective. Human papillomavirus type, histology, and cell cycle markers could clearly separate these lesions into either a low-risk or a high-risk group, properly designated low-grade squamous intraepithelial lesions or high-grade squamous intraepithelial lesions in current management algorithms. Thus, the previously used terms papillary immature metaplasia and immature condyloma, although descriptive for low-risk group lesions, are confusing and should be discarded."
CD008054,Human papillomavirus testing versus repeat cytology for triage of minor cytological cervical lesions," For studies where both triage methods, i.e. repeat cytology and the HC2 assay, were assessed: To assess the sensitivity and specificity of triage with HC2 and with repeat cytology to detect underlying cervical intraepithelial neoplasia of grade 2 or worse (CIN2+), or grade 3 or worse (CIN3+), in women with an index smear showing ASCUS (triage group I) or LSIL (triage group II), and to compare the accuracy of both triage methods.",19940548,1,Co-expression of p53 and Bcl-2 proteins in human papillomavirus-induced premalignant lesions of the uterine cervix: correlation with progression to malignancy.,To analyze aberrant expression of the apoptotic protein p53 and the anti-apoptotic protein Bcl-2 in premalignant lesions of the uterine cervix induced by human papillomavirus (HPV) infection and its significance for early diagnosis of cervical cancer.
CD008054,Human papillomavirus testing versus repeat cytology for triage of minor cytological cervical lesions," For studies where both triage methods, i.e. repeat cytology and the HC2 assay, were assessed: To assess the sensitivity and specificity of triage with HC2 and with repeat cytology to detect underlying cervical intraepithelial neoplasia of grade 2 or worse (CIN2+), or grade 3 or worse (CIN3+), in women with an index smear showing ASCUS (triage group I) or LSIL (triage group II), and to compare the accuracy of both triage methods.",19387127,1,High-risk human papillomavirus DNA test results are useful for disease risk stratification in women with unsatisfactory liquid-based cytology pap test results.,This study assesses whether high-risk human papillomavirus (HPV) DNA test results from residual vial fluid of unsatisfactory liquid-based cytology(LBC) samples might provide useful information on disease risk.
CD008054,Human papillomavirus testing versus repeat cytology for triage of minor cytological cervical lesions," For studies where both triage methods, i.e. repeat cytology and the HC2 assay, were assessed: To assess the sensitivity and specificity of triage with HC2 and with repeat cytology to detect underlying cervical intraepithelial neoplasia of grade 2 or worse (CIN2+), or grade 3 or worse (CIN3+), in women with an index smear showing ASCUS (triage group I) or LSIL (triage group II), and to compare the accuracy of both triage methods.",19387126,1,The utility of human papillomavirus testing in the management of atypical glandular cells on cytology.,To determine the value of human papillomavirus (HPV) testing for HPV-associated cervical disease (HPV-AD) and overall disease (atypical glandular cell [AGC]-associated cervical disease) in women with AGCs.
CD008054,Human papillomavirus testing versus repeat cytology for triage of minor cytological cervical lesions," For studies where both triage methods, i.e. repeat cytology and the HC2 assay, were assessed: To assess the sensitivity and specificity of triage with HC2 and with repeat cytology to detect underlying cervical intraepithelial neoplasia of grade 2 or worse (CIN2+), or grade 3 or worse (CIN3+), in women with an index smear showing ASCUS (triage group I) or LSIL (triage group II), and to compare the accuracy of both triage methods.",19347305,1,Gene expression profiling in cervical cancer: identification of novel markers for disease diagnosis and therapy.,"Cervical cancer, a potentially preventable disease, remains the second most common malignancy in women worldwide. Human papillomavirus is the single most important etiological agent in cervical cancer. HPV contributes to neoplastic progression through the action of two viral oncoproteins E6 and E7, which interfere with critical cell cycle pathways, p53, and retinoblastoma. However, evidence suggests that HPV infection alone is insufficient to induce malignant changes and other host genetic variations are important in the development of cervical cancer. Advances in molecular biology and high throughput gene expression profiling technologies have heralded a new era in biomarker discovery and identification of molecular targets related to carcinogenesis. These advancements have improved our understanding of carcinogenesis and will facilitate screening, early detection, management, and personalised targeted therapy. In this chapter, we have described the use of high density microarrays to assess gene expression profiles in cervical cancer. Using this approach we have identified a number of novel genes which are differentially expressed in cervical cancer, including several genes involved in cell cycle regulation. These include p16ink4a, MCM 3 and 5, CDC6, Geminin, Cyclins A-D, TOPO2A, CDCA1, and BIRC5. We have validated expression of mRNA using real-time PCR and protein by immunohistochemistry."
CD008892,Rapid diagnostic tests for typhoid and paratyphoid (enteric) fever, To assess the diagnostic accuracy of commercially available rapid diagnostic tests (RDTs) and prototypes for detecting Salmonella Typhi or Paratyphi A infection in symptomatic persons living in endemic areas.,16938421,1,"Evaluation of new-generation serologic tests for the diagnosis of typhoid fever: data from a community-based surveillance in Calcutta, India.","Although typhoid fever is confirmed by culture of Salmonella enterica serotype Typhi, rapid and simple diagnostic serologic tests would be useful in developing countries. We examined the performance of Widal test in a community field site and compared it with Typhidot and Tubex tests for diagnosis of typhoid fever. Blood samples were collected from 6697 patients with fever for > or =3 days for microscopy, culture, and serologic testing and from randomly selected 172 consenting healthy individuals to assess the baseline Widal anti-Typhi O lipopolysaccharide antibody (anti-TO) and anti-Typhi H flagellar antibody (anti-TH) titers. Sensitivity, specificity, positive predictive value (PPV), and negative predictive value (NPV) of the 3 serologic tests were calculated using culture-confirmed typhoid fever cases as ""true positives"" and paratyphoid fever and malaria cases as ""true negatives"". Comparing cutoff values for the Widal test, an anti-TO titer of 1/80 was optimal with 58% sensitivity, 85% specificity, 69% PPV, and 77% NPV. Sensitivity was increased to 67% when the Widal test was done on the 5th day of illness and thereafter. The sensitivity, specificity, PPV, and NPV of Typhidot and Tubex were not better than Widal test. There is a need for more efficient rapid diagnostic test for typhoid fever especially during the acute stage of the disease. Until then, culture remains the method of choice."
